Id,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
70,1,0.10721517347781565,49,2,0.5309706231759397,76479.85266829205,4,0,2,0,5.0
71,0,0.6566486179184361,33,0,1.2941935272767178,,4,0,1,0,2.0
72,0,0.27703253743076967,29,0,0.07401542536916973,45555.74556607004,4,0,0,0,1.0
73,0,0.3067758788832621,40,0,0.5221580131519789,51241.305954557996,8,0,1,0,1.0
74,1,0.61050667181774,49,2,0.367109844436825,111685.08057650275,8,1,0,0,0.0
75,0,0.088223757053083,63,0,0.20571879773576435,91888.77477850742,3,0,2,0,2.0
76,1,0.976614749635398,66,0,1.3365559710467727,124214.71810696815,7,0,1,0,1.0
77,0,0.33469652308642384,21,0,0.29788563036952787,,7,0,0,0,1.0
78,0,0.2599532904203229,53,1,0.8036038811391187,92706.77462803233,4,0,2,0,0.0
79,0,0.5066061307019919,29,0,0.4774884364333535,119859.40581588207,7,0,1,0,0.0
80,0,0.09345426407348764,30,0,0.5866428241277291,71672.28445787769,10,0,0,0,0.0
81,0,0.44581257266280117,34,2,0.8252708680488665,109231.67678282784,5,0,1,0,
82,1,0.4415994167427556,34,2,0.1642470942931232,59038.24495221199,2,0,1,0,1.0
83,0,0.5436375479800869,28,0,0.28266831797622993,69586.11883387045,6,0,0,0,3.0
84,0,0.7128528073491011,21,0,0.5722187707989999,68874.69776653592,3,0,0,0,2.0
85,0,0.15111178821370447,58,1,1.7741373226068857,44015.1070019605,8,0,1,0,2.0
86,0,0.3702564595107333,52,0,1.75922594537267,111060.99839351406,7,0,0,0,0.0
87,1,0.41142592097924535,41,1,1.1273850218416035,65632.65973725583,4,0,1,2,1.0
88,0,0.33674455572238665,29,0,0.9775349969658883,85551.32483583766,4,0,1,1,5.0
89,0,0.1294505880950805,56,0,0.3099855033658058,110681.35345836618,4,0,1,0,1.0
90,1,0.6767901764615988,40,0,0.43306285024545826,108617.97047898601,3,0,0,0,1.0
91,0,0.2028164556820109,34,0,0.5702499654591299,122511.6994272384,5,0,2,0,0.0
92,1,0.20767132584324027,21,0,0.5130514858214087,80485.55316560648,4,0,0,0,0.0
93,0,0.21346225775220906,47,0,0.06781756028753581,67318.20123840938,6,0,1,0,2.0
94,0,0.031832689211772326,37,0,0.3621858601889569,81320.62748861888,5,0,0,0,3.0
95,1,0.652960405810098,44,1,0.09038010294855227,33589.408106310424,2,0,0,0,2.0
96,0,0.7641060073331292,43,0,0.6442095207563366,38333.83249370084,3,0,1,0,3.0
97,1,0.5413602725697729,49,1,0.45104331307681356,41048.731505820295,4,0,0,0,2.0
98,0,0.6084486276678303,43,0,0.5819313561757521,49095.08685972624,6,0,0,0,2.0
99,1,0.39475423253257064,37,1,0.2184780534550684,105860.32597370847,2,1,2,0,1.0
100,0,0.5894023234165503,48,0,0.49177137185553754,51636.62670608134,3,1,1,0,1.0
101,0,0.3994424025251069,52,1,0.45855998638834006,69010.26877126453,7,0,0,0,3.0
102,0,0.16123101408411347,59,1,0.2505380005788195,173611.54175849623,3,1,1,0,1.0
103,0,0.39320884241567694,27,0,0.5342666386745699,69846.46925773092,5,0,1,0,1.0
104,0,0.48842882651572506,54,1,0.5539698723725539,127469.64829544984,5,0,0,0,5.0
105,1,0.14719816227439578,22,1,0.8981964377865823,50843.63776728022,5,0,0,0,1.0
106,0,0.43307891122583864,53,0,0.15985733794743803,75887.65812953726,7,0,0,0,1.0
107,0,0.3799541290357164,34,1,0.6677943823847511,50386.96903815531,6,0,1,0,0.0
108,0,0.3938047915913314,51,1,0.4984425446093518,70511.55021757964,3,0,0,0,1.0
109,0,0.8680507496396391,59,1,0.5195128894892227,134883.87143066997,3,0,0,0,3.0
110,0,0.038040709446730964,44,1,0.6671347228727834,32858.763687213745,4,0,0,0,0.0
111,0,0.3300006481189559,41,0,0.8741197536604598,107897.07084652048,7,0,1,0,3.0
112,1,0.3313121948932612,40,0,0.6023798512626534,96834.1094243096,4,0,1,0,1.0
113,0,0.49739704198149054,36,1,0.6037346968587545,61280.53436100609,5,0,1,0,1.0
114,1,0.288042580547382,55,0,1.287753456209105,,2,0,3,0,5.0
115,0,0.49369511553172224,40,1,0.2875246764784379,88403.88797203047,4,0,0,0,1.0
116,0,0.008947661779746095,21,0,0.5809936253982166,63498.97290432349,7,0,1,1,
117,0,0.1959497342354457,52,0,0.17215235224768816,96565.02709019317,4,0,1,0,2.0
118,0,0.32491889697185117,51,0,0.7538024380071718,85992.78531563631,6,0,1,0,1.0
119,0,0.6092217237216957,42,0,0.8340307197185632,,5,0,0,0,1.0
120,0,0.8927079488970685,32,0,0.1626529443144817,74485.10152879576,2,0,0,0,3.0
121,0,0.14128747417150692,28,0,0.3096092806882655,48391.351032364604,4,0,0,0,2.0
122,0,0.508964168894085,32,0,0.14345815052538177,93770.12610313443,3,0,2,0,1.0
123,0,0.3282416218065799,44,0,0.27518370834544764,95893.95036933264,7,1,2,0,0.0
124,0,0.4875957888796358,21,0,0.459387059969462,179432.28374135308,2,0,0,1,0.0
125,1,0.6296316157377161,47,0,0.4417571542671185,134498.88462692348,8,1,1,0,0.0
126,0,0.8069764397491767,42,0,0.34287408815125225,103391.60854911752,8,0,0,0,4.0
127,1,0.8361799006838772,57,0,0.640485309149411,190007.0755470882,8,1,0,0,0.0
128,1,0.7988423502744656,50,0,0.43545515507672966,44186.75312636433,7,0,1,1,5.0
129,1,0.14161500554094109,33,0,0.4121480115876203,59762.67953000377,5,1,1,0,2.0
130,0,0.4164860445484083,21,0,0.34006552576195437,51040.93476575079,5,0,0,0,1.0
131,0,0.9087281149721058,32,1,0.15677851742934623,68569.60284274447,8,0,1,0,3.0
132,0,0.42127772708313393,58,0,0.9683259987030453,39847.8057052483,6,0,1,0,1.0
133,0,0.46569606167130556,45,0,0.5498493919277726,120491.32296705192,5,0,1,0,0.0
134,1,0.027023386032155147,49,1,0.558111864497477,75190.30032627241,7,0,0,0,0.0
135,0,0.5975713183124239,34,0,0.6504761470134305,,5,0,1,0,3.0
136,0,0.42764654548812686,47,0,0.49245645673833555,48602.56106621487,4,0,0,0,2.0
137,0,0.35664706771336235,23,0,0.5525956863128927,100955.24876484777,1,0,0,1,1.0
138,0,0.21070443233837838,53,0,0.8818856844653281,134722.12628445393,11,0,2,0,2.0
139,0,0.2748857572142605,28,0,0.28252344658018586,254791.79245097822,2,0,1,0,1.0
140,1,0.21950439459514354,21,0,0.41641683511685607,421942.5120227181,4,0,0,1,1.0
141,0,0.3680162651061341,69,1,0.31741673594845576,106715.87291350208,6,0,0,0,3.0
142,1,0.2884483576426041,43,1,0.2890828001995012,49303.68156327517,5,0,2,0,1.0
143,0,0.01593973795060558,43,1,0.3140050504390021,26301.323644767115,6,0,1,0,2.0
144,1,0.26251135580793516,21,1,0.9352733568604564,98443.81952484646,4,0,1,0,2.0
145,0,0.14503044417935487,49,1,0.4929852159414685,54332.74688741176,7,0,0,0,0.0
146,0,0.14220485904099645,52,0,0.5114326651788326,67612.8617766246,4,0,1,0,5.0
147,1,0.5647386036595108,39,0,0.14668822359531597,60678.624221271915,5,0,1,0,0.0
148,0,0.0031859333179171502,52,1,0.991704339661042,,9,0,0,0,1.0
149,0,0.7329303282377636,56,0,0.12020476100988477,152708.95393794126,5,0,0,0,1.0
150,1,0.18140596783921897,48,0,0.27127582063407074,92630.77530215973,4,1,0,0,4.0
151,0,0.13700695651985767,21,1,0.35928938148637857,77866.47965923829,6,0,0,0,2.0
152,0,0.5769291474863761,28,0,0.7770281510677463,48068.8883968812,1,0,1,0,1.0
153,0,0.8697079860005585,62,0,0.35018844875736405,33823.94898474149,9,0,1,0,1.0
154,0,0.027297124974091837,42,0,0.701804217616083,65025.2314694373,6,0,0,1,
155,0,0.5757046321829848,43,0,0.2824173727550192,82488.94778036857,11,0,0,0,0.0
156,0,0.5392550221149989,32,1,0.2747156736184094,224664.049594414,4,0,0,0,0.0
157,0,0.07543000820713343,34,0,0.508651964280142,91276.71418672387,6,0,2,0,1.0
158,0,0.00041456570511001545,56,1,0.36630529986917704,145875.19860512923,8,0,0,0,1.0
159,0,0.8241791674030134,59,0,0.23027919719926598,64562.39637349192,4,0,1,0,5.0
160,0,0.37327936350600366,51,0,0.43574109340296496,44279.669745407795,2,0,1,0,0.0
161,0,0.6867821013419211,48,0,2.5280756172394923,49970.38359287648,2,0,1,0,3.0
162,0,0.24839554790729673,49,0,0.3781925852746585,57018.19261089053,2,0,1,0,3.0
163,0,0.4993613355613551,41,0,0.2836514820303078,273938.3480236529,3,0,0,0,0.0
164,1,0.6818185561671437,27,0,0.3121132498897574,54080.95266597373,4,0,0,0,0.0
165,0,0.2767564090725071,24,1,1.1795590918493633,134748.99925370098,5,0,1,0,2.0
166,0,0.40417594296774656,57,0,0.2442094806803716,51709.15127325038,4,0,0,0,4.0
167,1,0.2925674699587253,41,1,0.22331857964176002,141827.2656563131,3,0,0,0,1.0
168,0,0.2884840534258362,47,0,2.548110837416463,105000.77723582592,5,0,2,0,1.0
169,0,0.15222154750701072,44,1,0.2015920005218316,77952.04869339736,3,0,0,0,0.0
170,1,0.8859409036091718,45,0,0.3650554158331543,83081.77233425838,4,0,2,0,2.0
171,0,0.04133769745386311,46,1,1.3070112185530798,59270.48677062159,4,0,1,0,0.0
172,0,0.43728285548677126,50,0,1.0077929497822595,108590.55485333745,2,0,0,0,0.0
173,0,0.09321857634329203,32,0,0.17773920964896295,66155.22051721449,7,0,0,0,0.0
174,1,0.48459758523085933,56,1,0.3421173950601289,43300.38606181186,7,0,1,0,2.0
175,0,0.11270921147966352,33,0,0.29799424899763255,42071.85774870925,4,0,0,0,1.0
176,0,0.2809200259971329,44,0,0.8245158960782296,93425.8502081296,10,0,0,0,3.0
177,0,0.049151727179481165,27,0,0.5788265156917165,202501.01766570145,4,0,0,0,0.0
178,0,0.728479574669456,40,1,1.3850957620336162,92780.8358735981,4,0,0,0,2.0
179,0,0.6168645157469488,34,0,0.31223458335830945,79598.37210169071,3,0,0,0,3.0
180,0,0.263640317666638,42,0,0.3287470760503714,,5,0,2,0,3.0
181,0,0.23139824351508914,50,0,0.1168579802858174,174259.51941832728,7,0,1,0,0.0
182,0,0.08003594917312298,42,0,0.47374191102232355,,5,0,0,0,2.0
183,1,0.8586843338492981,65,0,1.1663323194141026,67777.80246435816,8,0,0,0,4.0
184,0,0.3843000795940689,51,0,1.055552368642718,156132.26671138385,8,0,0,0,2.0
185,0,0.2931666692594427,39,0,0.6531153813694902,107561.28328139325,5,1,0,0,3.0
186,1,1.7786227966876236,40,1,0.35631513410296745,197731.59230295126,4,0,0,0,4.0
187,0,0.05053913603026271,46,1,1.143936703148265,93974.51810116353,6,0,0,0,0.0
188,1,0.4539678075974486,50,0,0.5607308721343399,43327.46604122705,3,0,1,0,0.0
189,0,0.22193100406930008,27,1,0.3069295299835764,40035.12370466386,9,0,1,0,2.0
190,0,1.6266593046051878,49,0,0.6266617210120284,210662.02747251617,6,0,0,0,2.0
191,0,0.38982881008370535,27,0,0.5034700353716277,219260.576041129,4,0,0,0,0.0
192,1,0.7878464955271446,48,0,0.6554290857413175,76977.19073212014,6,0,1,0,3.0
193,0,0.2026369760865235,55,1,0.44484774657835807,,4,0,0,1,1.0
194,0,0.352447929024524,45,0,0.3554615933659674,189812.94396153736,3,0,1,0,4.0
195,0,0.43467610652748373,21,0,0.36481075064805857,,5,0,0,0,0.0
196,0,0.06809834093381498,21,0,3.0129254486475885,51942.89076777256,5,0,0,0,2.0
197,0,0.42308865418028113,48,0,0.4470138700203916,121034.35828965483,3,0,1,1,5.0
198,1,0.5190967418784702,21,2,1.3545545330823854,68388.99387663731,3,0,1,1,2.0
199,0,0.09091417414372517,49,0,0.309804411843969,84726.43837402177,2,0,0,0,0.0
200,0,0.16702027196610117,53,0,0.08493690627863405,77660.83892868954,2,0,2,1,0.0
201,0,0.33473874578366464,55,1,0.6498095312142974,102300.1074047952,3,0,0,0,1.0
202,0,0.0457136005648406,39,1,0.30583604398313957,184262.20027278247,4,0,2,0,2.0
203,0,0.2524871793383969,47,0,1.1177911454744094,89305.79860972665,8,0,1,1,3.0
204,0,0.22934407121703237,44,0,0.5709072979643041,121075.10521795494,4,0,1,0,2.0
205,0,0.3479537402259112,24,0,0.22348858525002874,27512.764632956234,7,1,0,0,1.0
206,0,0.6665659054555478,50,0,0.34223061230323676,82719.02301607745,7,0,1,0,0.0
207,0,0.10119866177933476,58,0,0.3669837322673652,53435.11276827017,4,0,0,1,2.0
208,1,1.6133661882799712,50,1,0.538372453882119,43462.45829561666,6,0,0,0,1.0
209,1,0.4533333303225588,35,0,0.44051865572607846,52418.57007066742,3,0,1,0,0.0
210,0,0.6691312751733274,50,0,1.0762192435210651,70702.20981463764,3,0,0,1,4.0
211,0,0.1242331389140592,57,0,0.42313915971388716,140610.1432410189,5,0,0,0,1.0
212,0,0.02786085642223502,55,1,0.8138453350721004,40965.43761780442,5,0,1,0,2.0
213,1,1.5651627059560378,54,1,0.28937162600169686,86409.0177046085,5,0,0,1,2.0
214,0,0.5232983469340305,22,1,0.5079437535272355,65101.75664758866,7,0,0,1,0.0
215,1,0.03755584644033586,46,0,0.26081187404786776,70953.48483120726,6,0,1,0,4.0
216,0,0.4870432139603231,49,1,0.36474847312357295,147490.16932805427,11,0,0,0,1.0
217,0,0.31576929449430846,54,0,0.9897622976354752,114229.3433649158,3,0,0,0,2.0
218,0,0.6383633913562181,48,0,0.13702808511769546,177294.7638819529,6,0,0,0,1.0
219,1,0.8034570121629615,60,1,0.34774883382954064,78043.5182532603,6,0,1,1,2.0
220,1,0.41443560006066615,21,0,1.2277024536231793,57943.95698852956,5,0,1,1,4.0
221,1,0.709895855274993,48,1,0.2984545486913276,75122.66957437238,6,0,2,1,1.0
222,1,0.344013317305344,47,1,1.1398210456625473,97088.01674680441,6,0,1,0,3.0
223,0,0.05070535588345678,52,0,0.1907064574153273,93630.86357375332,7,0,1,0,0.0
224,0,0.06084968155776698,60,2,0.6059622419658562,,6,0,0,1,1.0
225,1,0.46992523666710617,31,2,0.14805817979698943,89301.12635074841,6,0,1,0,3.0
226,0,0.02746403876714222,60,0,0.5568552876036895,96329.08543043757,3,0,1,0,2.0
227,0,0.5727405142651881,51,0,0.45986817700925975,339290.08236229164,3,0,0,0,0.0
228,0,0.27578256216588276,39,2,0.2415023845930165,238533.3796699469,2,0,0,0,1.0
229,0,0.1201005777671823,31,0,1.1168950398292927,,4,0,3,0,2.0
230,0,0.2948796870621835,44,0,0.5564276275664501,72543.31793296197,2,0,1,0,1.0
231,0,0.040178847454330494,45,0,0.3267025369983594,37991.088535769755,2,0,0,0,0.0
232,1,0.19157952215400112,46,1,0.1776870355887046,61396.68621997583,4,0,3,0,3.0
233,0,0.1232987382487852,34,2,0.25246360188125344,101071.4278164725,3,0,0,0,0.0
234,0,0.3735447504536863,49,0,0.48345586775550947,164920.61097492737,4,0,0,0,0.0
235,0,0.4276301101065361,37,0,1.7345318756458765,56897.34107543051,4,0,1,0,2.0
236,0,0.5677544087031287,56,1,1.6214422429734794,,4,0,0,0,2.0
237,1,0.7143442714907279,62,0,1.2885678146813568,26081.747877658767,7,0,1,0,0.0
238,0,0.06753921883751152,32,0,0.40673431383777914,77694.03343976935,4,0,0,0,1.0
239,0,0.21690453890043798,42,1,0.7492431132413008,47366.57420987307,2,0,0,0,0.0
240,0,0.2829516608275083,53,0,2.6039055078731113,63500.83376478376,2,0,0,0,3.0
241,0,0.06666962535818542,45,1,0.09715632372212013,52455.820079605146,1,0,1,0,2.0
242,0,0.09006012220611978,25,0,0.27390717657474956,80672.70710717126,2,0,1,0,2.0
243,0,0.05514534622819763,52,0,0.25955158163083814,32313.791023358164,6,0,2,0,2.0
244,1,0.6130377761678574,34,0,0.9314487261561538,37915.87296121484,4,0,0,1,0.0
245,1,0.4108373448847023,44,0,0.15251016749358465,274055.4978109198,7,0,1,1,0.0
246,1,0.33962655239753414,30,0,0.32918934364264313,41852.950712390346,5,0,1,0,1.0
247,0,0.4243308387879839,51,0,0.273328149138732,46479.56031634639,5,0,0,0,2.0
248,0,0.12732337474770056,36,0,0.46777295384176265,233351.79428142915,5,0,3,0,5.0
249,0,0.41559827777003583,52,0,0.8895964705911823,419906.3306322545,8,0,1,1,0.0
250,0,0.20357584237296109,39,0,0.2768313141857568,44606.655536295,4,0,0,0,3.0
251,1,0.12379384085410682,36,0,0.6636763454678185,69387.57346531498,2,1,0,0,0.0
252,0,0.4114831538474986,46,0,0.1952693463258313,102524.34412476141,7,0,1,0,1.0
253,0,0.21700800853009816,29,0,0.4823072820512925,,4,0,0,0,1.0
254,1,0.03127549477453175,63,0,0.7192259770626459,49376.43706355163,2,0,0,1,
255,0,0.11572794075972526,44,1,0.41303650334977293,74242.88185018764,3,0,1,0,3.0
256,0,0.1384359537390588,35,0,0.980415283619985,130292.29998237267,2,0,0,0,1.0
257,0,0.1779772846512246,37,0,0.21167721907563802,107917.39377156444,8,0,0,0,2.0
258,0,0.15348274181351373,42,0,0.23875727482005796,69086.46816391808,3,1,0,0,3.0
259,0,0.4342114515354729,53,1,0.5456299858689379,78936.37044587336,6,0,1,0,1.0
260,0,0.6686071809867458,31,0,0.12276930591536482,39887.06262838224,4,0,0,0,1.0
261,0,0.2503400490776902,37,0,0.4749722412639184,,3,0,1,0,0.0
262,0,0.30251675058774946,41,0,0.447274937112263,73385.88403404146,6,0,1,0,2.0
263,0,0.07053315131786295,60,0,0.49143129234451943,96538.13969984306,6,0,0,0,4.0
264,0,0.23848349096789104,53,0,0.5850352567944542,62603.09705894971,4,0,1,0,0.0
265,0,0.032781975023590544,61,1,0.40591312436612387,110122.22754566772,5,0,1,1,4.0
266,0,0.1802684732557635,42,2,0.27195193987160854,148300.17375948676,3,0,1,0,5.0
267,0,0.3711743537392835,59,0,0.5408352318166995,92548.31673589944,5,0,1,0,2.0
268,1,0.6427222760113659,57,1,0.3669369115225717,103101.17066740227,10,0,1,0,2.0
269,0,0.14509114289046385,50,0,0.48062921637354467,87486.12087279587,5,0,1,0,3.0
270,0,0.1546200558324939,51,0,0.13222678412521388,84969.39537285375,6,0,1,0,4.0
271,1,0.44349349633577656,34,0,0.3125740695410454,,5,0,0,0,2.0
272,0,0.004819647530802314,63,1,1.044015369846141,101120.87312841744,3,0,0,0,0.0
273,1,0.9049390394692677,39,1,0.6235507463308066,80538.64182251501,6,0,0,0,2.0
274,0,0.7238671174584486,48,1,1.150984546886696,268670.9215988543,6,0,1,1,1.0
275,0,0.07326746984180266,50,0,0.5490505652584452,201863.1348230452,3,0,0,0,1.0
276,1,0.40052057792722534,25,0,0.3696799079173536,105052.51047633629,9,0,0,0,2.0
277,0,0.26461409353391896,41,0,0.530880383250791,55844.06514537773,6,0,1,0,1.0
278,1,0.4311215318189344,44,1,0.26433956505315737,46081.81535917095,7,0,1,1,0.0
279,1,0.9789622850733001,40,0,1.1529590456254626,163591.64369688512,7,0,1,0,1.0
280,1,0.9922995593404346,41,0,1.0000821306665852,98175.50996004388,1,0,0,0,1.0
281,0,0.1358690239195573,59,0,0.3011602962976951,110644.63652462655,6,0,1,0,4.0
282,0,0.2599787776494064,32,0,1.203319443379876,,4,0,1,0,0.0
283,0,0.09857073790144637,26,0,1.7442273784630984,141505.11797656218,5,0,1,1,3.0
284,1,0.7645346620803145,34,0,0.9995059514785283,109090.29208080395,4,0,1,0,1.0
285,0,0.5887390499476743,50,0,0.6368130088619737,46132.04577340213,4,0,0,0,0.0
286,1,0.1563835096921101,52,0,0.4713084582819551,65556.08769555295,4,1,0,0,1.0
287,0,0.226647699533087,49,0,0.4696646076162794,98227.79139470951,2,0,0,0,0.0
288,0,0.69160854564594,52,0,0.6507063729304412,87452.99597018992,3,0,0,1,1.0
289,0,0.3774960067647745,45,0,0.6301678179255595,72352.54066900632,5,1,0,1,4.0
290,1,0.7052365651814577,35,0,1.7428978384860863,80264.39907025082,5,0,0,1,2.0
291,1,1.698512228079728,30,0,0.20887127478471085,73969.81932141665,7,0,0,1,1.0
292,1,0.33525275198317134,26,1,0.367654556360981,92402.50629404646,3,1,0,2,1.0
293,0,0.20112182902021353,39,0,0.825881830096925,190864.7965963307,6,0,0,0,1.0
294,1,0.7230110011835047,51,1,0.285503239720632,25000.0,6,0,0,0,0.0
295,0,0.19371323221461714,44,0,0.6286065344632727,,6,0,0,0,0.0
296,0,0.0265739623914971,42,1,0.34350318355614956,93627.72555099125,4,0,0,0,2.0
297,1,0.4422053548431569,29,1,0.4321665116530631,99987.12376482601,7,0,0,0,2.0
298,1,0.7794801394326948,72,0,0.4876763056006975,69247.82255272532,9,0,0,0,1.0
299,0,0.5178942808394894,32,0,0.6589139446447002,32331.686018457975,6,0,2,0,0.0
300,0,0.8385372461168813,43,0,0.5431483057154657,101762.5580209771,2,0,0,1,2.0
301,0,0.15055845874728166,54,1,0.6981765516434325,219705.35182923026,7,0,0,0,
302,0,0.3707828480010717,42,0,0.8739070361797838,36547.79837173159,4,0,2,0,0.0
